"","ts_x"
"216",0.113721167965177
"217",0.101111473588741
"218",0.0542437820041434
"219",0.0139406435736226
"220",-0.03765341216841
"221",-0.0730449645487836
"222",-0.0802870533222087
"223",-0.0690298793308846
"224",-0.0594087926898235
"225",-0.0552314591316413
"226",-0.0411564940466513
"227",-0.0159190124803497
"228",0.0256771788913334
"229",0.0512479875728749
"230",0.062436135320492
"231",0.0647195436017536
"232",0.0717541443090956
"233",0.0657044818742569
"234",0.0493755589109603
"235",0.0318901583029083
"236",-0.00892153136036165
"237",-0.0578511711767362
"238",-0.110112155939027
"239",-0.136992259059927
"240",-0.138258219585759
"241",-0.0945838805358922
"242",-0.038641976300333
"243",0.0367276869471244
"244",0.104163635030927
"245",0.155477306883727
"246",0.192621238170021
"247",0.18293318514056
"248",0.137626526750543
"249",0.0513632056632579
"250",-0.0541094636076121
"251",-0.147750802729453
"252",-0.218036195802912
"253",-0.238858232143018
"254",-0.211505507597505
"255",-0.154499980637015
"256",-0.0367235303560293
"257",0.0856643800269627
"258",0.191310562250928
"259",0.262735110483622
"260",0.285050889972369
"261",0.22977163206776
"262",0.124833683389783
"263",-0.00753629229379228
"264",-0.124104172076949
"265",-0.206919017310403
"266",-0.263700664523437
"267",-0.272815309370659
"268",-0.21413381021175
"269",-0.110701827617055
"270",0.0143817957666444
"271",0.140077427031903
"272",0.238504227707971
"273",0.271421746415196
"274",0.252405325504216
"275",0.186428894291695
"276",0.0739513840884729
"277",-0.050382310115145
"278",-0.140568597980838
"279",-0.22163301988617
"280",-0.236790166902946
"281",-0.202764911858975
"282",-0.12870714807162
"283",-0.0364946138650701
"284",0.0654865441334711
"285",0.145785133453124
"286",0.184509623300995
"287",0.188752037894279
"288",0.167319205920306
"289",0.11310756650743
"290",0.0370293942028377
"291",-0.0454149097308611
"292",-0.107584760131368
"293",-0.136619273368246
"294",-0.133792156977676
"295",-0.0915481824269663
"296",-0.0456726505907635
"297",0.00121926880373371
"298",0.0390205231320581
"299",0.0754011828113355
"300",0.0984506356732508
"301",0.100470327512514
"302",0.0852092820606895
"303",0.0677152331038905
"304",0.039169749592137
"305",0.00281239290928718
"306",-0.0274704439372072
"307",-0.0605377567407196
"308",-0.0753631229249728
"309",-0.0861771265709663
"310",-0.100764987773737
"311",-0.0985572563059798
"312",-0.0877472621781883
"313",-0.0400061597939867
"314",0.0141510965415166
"315",0.0662626041115487
"316",0.104304584454021
"317",0.132163937647175
"318",0.125374453231701
"319",0.121730241607605
"320",0.0837892759507717
"321",0.0153659557750536
"322",-0.0789718176128895
"323",-0.160454384075078
"324",-0.203503244703717
"325",-0.185689965344393
"326",-0.139570933893556
"327",-0.0627509307841138
"328",0.0294320473587577
"329",0.104595193862497
"330",0.166326932069194
"331",0.21237038828349
"332",0.214719731476327
"333",0.168660835740473
"334",0.0709362900312489
"335",-0.0429817939614269
"336",-0.136954624207913
"337",-0.203512473204642
"338",-0.242442299093368
"339",-0.222379835590668
"340",-0.156564306032623
"341",-0.0590246126877069
"342",0.0605262826618682
"343",0.173810481652892
"344",0.247961074765115
"345",0.26734512358692
"346",0.226840275031328
"347",0.148035316220916
"348",0.043289119511415
"349",-0.0678114453084195
"350",-0.168281898871689
"351",-0.234886731464064
"352",-0.255076525300507
"353",-0.216772694848852
"354",-0.124158276341289
"355",-0.0109885080647025
"356",0.103601734460175
"357",0.181172149405672
"358",0.219061077900094
"359",0.215406588212751
"360",0.175127250022
"361",0.103077761811517
"362",0.0182038391806859
"363",-0.0787283219674603
"364",-0.146830010190653
"365",-0.188736330226891
"366",-0.191101635385327
"367",-0.158706370089655
"368",-0.0948924238398971
"369",-0.0179129967140168
"370",0.0550559760083561
"371",0.115525511411855
"372",0.151882877151803
"373",0.173203827470306
"374",0.158874196689494
"375",0.113510740423983
"376",0.0374321882705924
"377",-0.0254446878178121
"378",-0.077451629777469
"379",-0.10934710213338
"380",-0.133800938873955
"381",-0.136137283364975
"382",-0.122084966002518
"383",-0.0897067012686646
"384",-0.0526241035375699
"385",0.00987345754611824
"386",0.0786585050350097
"387",0.12104854871626
"388",0.144581678326684
"389",0.147723952458749
"390",0.12121568486704
"391",0.0723042468148427
"392",0.0128512983286339
