"","ts_y"
"252",-0.0791159314744916
"253",0.0260159237600038
"254",0.129192655196141
"255",0.216743526486622
"256",0.270493096298726
"257",0.260065916016428
"258",0.190810539212756
"259",0.0817771610137234
"260",-0.0458118282862852
"261",-0.168585049174652
"262",-0.249913997604494
"263",-0.266920126410407
"264",-0.23009549361204
"265",-0.152786085579961
"266",-0.0559368840417015
"267",0.0612862393928361
"268",0.174736523034726
"269",0.252154113534383
"270",0.267775856540539
"271",0.224229482651128
"272",0.131208628855375
"273",0.0161364399631164
"274",-0.0978445981871624
"275",-0.18910275850949
"276",-0.252086834136129
"277",-0.256745934401157
"278",-0.209269236417889
"279",-0.126873670699767
"280",-0.0107063971875679
"281",0.094786331391076
"282",0.167073867071077
"283",0.197820272279916
"284",0.191870460771742
"285",0.144554851943766
"286",0.0637004567736568
"287",-0.0188520772258826
"288",-0.0906805334661145
"289",-0.151453313148214
"290",-0.178863845599639
"291",-0.173776365880201
"292",-0.132433543442206
"293",-0.0702476576836387
"294",-0.00713218242090768
"295",0.0522658613037462
"296",0.0857231549605558
"297",0.0992562730184854
"298",0.0928911260353656
"299",0.0715110184526902
"300",0.0324053362321459
"301",-0.00676277683216819
"302",-0.041569519758977
"303",-0.0743308516878274
"304",-0.092784189805327
"305",-0.101172862064405
"306",-0.100318462253754
"307",-0.0854172539130772
"308",-0.0587910632312555
"309",-0.0263776753246417
"310",0.0116106394297641
"311",0.0526900806371027
"312",0.0934048602455042
"313",0.119751006580887
"314",0.127961334353296
"315",0.120321005131352
"316",0.0807853685480493
"317",0.0354979017412927
"318",-0.0214894558760567
"319",-0.0814520784877653
"320",-0.137640696567761
"321",-0.169714258948923
"322",-0.168310105892602
"323",-0.120728736551155
"324",-0.0373549238951564
"325",0.044922134079156
"326",0.109905548029659
"327",0.159677260285667
"328",0.173105688368943
"329",0.151038865099097
"330",0.0979125694322242
"331",0.0148121687286051
"332",-0.0806335903598775
"333",-0.168111047388517
"334",-0.222056001834116
"335",-0.230321000845552
"336",-0.185246464323657
"337",-0.103892336334031
"338",-0.00296539123579942
"339",0.104174722404265
"340",0.198079325938382
"341",0.251550497084889
"342",0.252482973459729
"343",0.196208712317473
"344",0.0994121576486639
"345",-0.0120199759461487
"346",-0.120996372406163
"347",-0.200112705521975
"348",-0.238888171306675
"349",-0.230563683327729
"350",-0.185500527338842
"351",-0.0951461949185748
"352",0.0239979770829604
"353",0.13569912067202
"354",0.218384039455201
"355",0.253119269760728
"356",0.22952372301691
"357",0.163224521262995
"358",0.0691452607865236
"359",-0.0250178240132073
"360",-0.112396534169804
"361",-0.173961629000182
"362",-0.200438490117424
"363",-0.185981582440619
"364",-0.12571669566425
"365",-0.0532404942383557
"366",0.0208095734066612
"367",0.0921467235707805
"368",0.155513637585572
"369",0.184775183961076
"370",0.174029347947132
"371",0.137220610827978
"372",0.0770398979525521
"373",-0.00290053109891597
"374",-0.076097192772853
"375",-0.130173182162177
"376",-0.157162676021407
"377",-0.151841279726897
"378",-0.129805934385551
"379",-0.0944201720964891
"380",-0.0402434520000534
"381",0.0181033278828338
"382",0.0728519350469836
"383",0.113654573472533
"384",0.141919811103072
"385",0.152340345613179
"386",0.132791041551854
"387",0.0937898157736298
"388",0.0394603636905264
"389",-0.0234387981994173
"390",-0.085362566337252
"391",-0.134701837464207
"392",-0.156379851757072
"393",-0.145491116010032
"394",-0.10136178906338
"395",-0.0328685801435756
"396",0.0465729187875673
"397",0.125013694082535
"398",0.180338585786108
"399",0.217983138736299
"400",0.226610154725622
"401",0.190089076741409
"402",0.108671923696787
"403",-0.00332779809746592
"404",-0.117396565173165
"405",-0.197178851032565
"406",-0.238287592190072
"407",-0.238348128679611
"408",-0.184786670275755
"409",-0.0924624574077346
"410",0.0117440960074074
"411",0.123760455576809
"412",0.210548313035436
"413",0.258711503530853
"414",0.245192437426901
"415",0.174651829001743
"416",0.0735821169020576
"417",-0.0458440010984432
"418",-0.150852819517179
"419",-0.223136897184752
"420",-0.243008969395205
"421",-0.215956242590334
"422",-0.153273017014957
"423",-0.0615693134117437
"424",0.0481280110378086
"425",0.139056274249201
"426",0.192347190075406
"427",0.195101582174009
"428",0.153366382372088
"429",0.0879171875845357
"430",0.00429898499402465
"431",-0.0764195974473386
"432",-0.137068084785215
"433",-0.165657391131793
"434",-0.155495117838709
"435",-0.113470516386577
"436",-0.0459432436546433
"437",0.0247272443267549
"438",0.0811455583867945
"439",0.123833662744642
"440",0.141938903265522
"441",0.127179818225521
"442",0.0870480465987966
"443",0.0340682350047243
"444",-0.0178833123323572
"445",-0.0600430230466867
"446",-0.0876155371315537
"447",-0.0956294825718233
"448",-0.0909118069160607
"449",-0.0657919761197115
"450",-0.0392783598529572
"451",-0.0116431303781766
"452",0.0147131192450228
"453",0.0343566368408642
"454",0.0449814673417886
"455",0.040810563023951
"456",0.0418261532848191
"457",0.0381055928501839
"458",0.0312461836696008
"459",0.0168742879190893
"460",0.00473691066052306
"461",-0.0104555174933684
"462",-0.0377113826676964
"463",-0.0730387900807394
"464",-0.0931716570612635
"465",-0.0969489488390307
"466",-0.0785999868973035
"467",-0.03083195790073
"468",0.025679490523643
"469",0.0828267942885466
"470",0.123408186577029
"471",0.147436162329267
"472",0.14028750827241
"473",0.0937169142124148
"474",0.0133396123489989
"475",-0.0776134982634667
"476",-0.159675086379381
"477",-0.209091111866505
"478",-0.219114176835134
"479",-0.180290696366022
"480",-0.102089002077206
"481",-0.000476875545252664
"482",0.0912074797350497
"483",0.17236747611622
"484",0.209233188677104
"485",0.201780189987961
"486",0.157564531794373
"487",0.0748187704762562
"488",-0.01697839649147
"489",-0.103884426358935
"490",-0.169397340402246
"491",-0.197677992921793
"492",-0.18325256132409
"493",-0.119561167341693
"494",-0.0404981955781861
"495",0.0452920950860372
"496",0.131228118781544
"497",0.187797291332439
"498",0.202392992835953
"499",0.172594383290784
"500",0.0998043901708542
"501",0.00763262467775139
"502",-0.0805781192326117
"503",-0.151304496558553
"504",-0.184296401311917
"505",-0.178525667239882
"506",-0.135247029827394
"507",-0.0684460187957389
"508",0.0179938639151957
"509",0.0957954658630606
"510",0.145277618125469
"511",0.173126964195402
"512",0.166089862499332
"513",0.12064954091284
"514",0.0521131062824563
"515",-0.0161551376093838
"516",-0.0804152352925835
"517",-0.124202555300792
"518",-0.139220669900651
"519",-0.119926428566791
"520",-0.0791151913071136
"521",-0.0214202446170226
"522",0.0295624503340035
"523",0.0663608722048407
"524",0.0810485397405015
"525",0.0760609217629167
"526",0.0642672146028936
"527",0.0473735074900626
"528",0.0431180609385848
"529",0.035912408479545
"530",0.038650062797453
"531",0.0343155278605835
"532",0.0216637406210407
"533",0.00294531618154242
"534",-0.0276459641443344
"535",-0.0617500250835558
"536",-0.0859011347511199
"537",-0.0924642468221176
"538",-0.0852143243503605
"539",-0.0579583449484267
"540",-0.020071752280166
"541",0.0262433876296738
"542",0.0765204461085165
"543",0.116330203376068
"544",0.141496114482014
"545",0.133206051164311
"546",0.0916503251769744
"547",0.0289025407492474
"548",-0.0493631874955031
"549",-0.112534976479379
"550",-0.151691828281695
"551",-0.148574711453877
"552",-0.113659093761942
"553",-0.0558560631865091
"554",0.0205687744764813
"555",0.102597370708723
"556",0.167316880073788
"557",0.194085247031302
"558",0.175021641898409
"559",0.115336325102343
"560",0.0237416755018199
"561",-0.0775170014280356
"562",-0.163025036663981
"563",-0.206742037862112
"564",-0.209663432351691
"565",-0.174227219959174
"566",-0.0945464752841932
"567",0.00602919142674568
"568",0.0999983517439534
"569",0.166295892576962
"570",0.191618598703403
"571",0.171367407594736
"572",0.109578725033154
"573",0.0285646025705231
"574",-0.0535297216187279
"575",-0.118481716384638
"576",-0.150290341962794
"577",-0.15069234108011
"578",-0.119412968818488
"579",-0.0617722524775755
"580",0.00661831265678031
"581",0.0743275074093664
"582",0.123761461866038
"583",0.132650158612809
"584",0.10029153336245
"585",0.0496377923180956
"586",-0.0144782320921908
"587",-0.0788337500452078
"588",-0.126038743488524
"589",-0.149980962477631
"590",-0.134142024216714
"591",-0.0953009953824667
"592",-0.0396814211197483
"593",0.0261716974951823
"594",0.0737810525027561
"595",0.0967434901113295
"596",0.0877576031986798
"597",0.0539232156335813
"598",0.00541462045187807
"599",-0.0421512963560196
"600",-0.0731977383631917
"601",-0.0910899117684639
"602",-0.0867814853261263
"603",-0.0565310980794052
"604",-0.00637369468863652
"605",0.0367053738962793
"606",0.0555001968037396
"607",0.0573546678485479
"608",0.0402598710466612
"609",0.00500385859310043
"610",-0.0286076670174881
"611",-0.0434267744383895
"612",-0.0541733344976573
"613",-0.0509699027142213
"614",-0.0239890243263415
"615",0.00776997522909484
"616",0.0371572889872329
"617",0.0538726675225275
"618",0.0499560181059607
"619",0.0272201713124765
"620",-0.00526227119893058
"621",-0.0411760778445622
"622",-0.0642083945347644
"623",-0.0623358860673678
"624",-0.0431075787613409
"625",-0.0173563756008676
"626",0.0171022374859194
"627",0.0529827057814152
"628",0.0826912690303341
"629",0.0959327188326777
"630",0.0801733425315066
"631",0.0478602752854297
"632",0.010359978250617
"633",-0.0384018006123254
"634",-0.0805177547091196
"635",-0.0978570893519829
"636",-0.0819586805709242
"637",-0.0580072064638708
"638",-0.0170449544673173
"639",0.0249816351477964
"640",0.0633022831319339
"641",0.0941532494061512
"642",0.102257506207822
"643",0.0839341716883815
"644",0.0440966618677999
"645",-0.0061862060433438
"646",-0.0601826401301765
"647",-0.091908224100652
"648",-0.100000701304758
"649",-0.0750004435927929
"650",-0.0273449636436436
"651",0.0351364958193617
"652",0.0949754112745481
"653",0.135071355478717
"654",0.140709984050795
"655",0.114171515970248
"656",0.0692928356019643
"657",0.0100626059537119
"658",-0.0461863063753661
"659",-0.0794278300982186
"660",-0.0870721286543331
"661",-0.0821222753998252
"662",-0.0529805505459371
"663",-0.00371200661512627
"664",0.049829322067111
"665",0.0947114409441699
"666",0.102986560528382
"667",0.0811529611817869
"668",0.0324585509200965
"669",-0.0204418173690007
"670",-0.0740128310024223
"671",-0.108141621033945
"672",-0.115108990148225
"673",-0.0882542023810335
"674",-0.0405868956164327
"675",0.0165079614813353
"676",0.0645794258414711
"677",0.0916241929640822
"678",0.0881144832046938
"679",0.0650755788818674
"680",0.0335659368853326
"681",-0.0021437707128969
"682",-0.0395690030284712
"683",-0.0702898468206707
"684",-0.0840067740204122
"685",-0.0691681241809453
"686",-0.0286911034091782
"687",0.010828597487119
"688",0.0449622904295713
"689",0.0669958800338179
"690",0.0737545022069888
"691",0.0530001258675746
"692",0.0216703751751022
"693",-0.0236293807515266
"694",-0.0572452837664129
"695",-0.0800243143429134
"696",-0.0794158912267186
"697",-0.0592576675309018
"698",-0.0221106125372204
"699",0.0235997700668134
"700",0.0635038542549572
"701",0.08842483461762
"702",0.082823969425704
"703",0.0583486048492743
"704",0.0232953906601807
"705",-0.0126754504623959
"706",-0.0457479191970472
"707",-0.0655970049341321
"708",-0.0624516566963248
"709",-0.037517863463882
"710",-0.000372224018649114
"711",0.036486899934127
"712",0.0663047275401106
"713",0.085625574841252
"714",0.0749267720333757
"715",0.0443650936088982
"716",-0.00135606427246399
"717",-0.0496489912514295
